"state","track","race","distance","trackcondition","trackrating","date","meetid","raceid","racestatus","raceclass","fieldsize","trialjumpout","horseid","name","entrantnumber","barrier","weight","margin","finish","winningtime","scratched","sp","placeodds","jockey","trainer","position400","position800"
VIC,Tatura,10,1100,Soft,"6",2018-08-18,"5149002","5160927",Paying,BM 0-57,12,false,"1007806",Grandes,1,3,60,1.8,5,"6681",false,4,,M.Poy,J.& C.Ledger,6,9
VIC,Tatura,10,1100,Soft,"6",2018-08-18,"5149002","5160927",Paying,BM 0-57,12,false,"1004546",Theodolite,2,2,60,6.55,9,"6681",false,2.6,,E.Azzopardi,A.B.Chibnall,10,8
VIC,Tatura,10,1100,Soft,"6",2018-08-18,"5149002","5160927",Paying,BM 0-57,12,false,"895917",Armona,3,1,59.5,0.2,2,"6681",false,9,,L.W.German,P.J.Smith,2,4
VIC,Tatura,10,1100,Soft,"6",2018-08-18,"5149002","5160927",Paying,BM 0-57,12,false,"980925",Shakarl,6,7,58.5,0.3,3,"6681",false,12,,B.Park,R.G.Symons,7,10
VIC,Tatura,10,1100,Soft,"6",2018-08-18,"5149002","5160927",Paying,BM 0-57,12,false,"964398",Cosmic Rush,7,10,58,5.8,8,"6681",false,20,,J.Rule,C.M.Barnes,9,7
VIC,Tatura,10,1100,Soft,"6",2018-08-18,"5149002","5160927",Paying,BM 0-57,12,false,"945703",Atunnah Courage,8,6,57,,1,"6681",false,7,,J.Baldock,E.L.Haworth,1,1
VIC,Tatura,10,1100,Soft,"6",2018-08-18,"5149002","5160927",Paying,BM 0-57,12,false,"964520",Japanese Slipper,12,12,55,3.05,6,"6681",false,15,,C.A.Robertson,Cj.Cassar,11,11
VIC,Tatura,10,1100,Soft,"6",2018-08-18,"5149002","5160927",Paying,BM 0-57,12,false,"981791",Call Me Betty,14,9,54,3.8,7,"6681",false,20,,H.Grace,T.A.Miles,3,2
VIC,Tatura,10,1100,Soft,"6",2018-08-18,"5149002","5160927",Paying,BM 0-57,12,false,"928732",Hay Buddy,15,8,55,8.8,12,"6681",false,101,,L.Smith,N.T.Robb,8,6
VIC,Burrumbeet,1,1800,Good,"3",2018-01-01,"5143933","5141033",Paying,Maiden,6,false,"985655",Access All Areas,1,4,58.5,4.6,5,"11268",false,12,,K.Furness,S.Lenehan,,
VIC,Burrumbeet,1,1800,Good,"3",2018-01-01,"5143933","5141033",Paying,Maiden,6,false,"996759",Mr Integrity,3,2,58.5,1.3,3,"11268",false,1.8,,L.Doodt,S.Morrish,,
VIC,Burrumbeet,1,1800,Good,"3",2018-01-01,"5143933","5141033",Paying,Maiden,6,false,"5016127",Blastzoff,4,3,57,1.6,4,"11268",false,4.2,,M.Poy,J.W.Bridgman,,
VIC,Burrumbeet,1,1800,Good,"3",2018-01-01,"5143933","5141033",Paying,Maiden,6,false,"996506",Honey Trap,5,6,56.5,,1,"11268",false,9,,S.Payne,K.L.Goodrich,,
VIC,Burrumbeet,1,1800,Good,"3",2018-01-01,"5143933","5141033",Paying,Maiden,6,false,"962185",Kalaru Girl,6,5,56.5,0.3,2,"11268",false,17,,S.Karlsson,M.A.Bell,,
VIC,Burrumbeet,1,1800,Good,"3",2018-01-01,"5143933","5141033",Paying,Maiden,6,false,"5019202",October Omen,7,1,55,14.35,6,"11268",false,8,,J.Benbow,P.A.G.Banks,,
VIC,Southside Pakenham Synthetic,4,2200,Synthetic,,2018-04-15,"5144089","5150567",Paying,BM 58,8,false,"1007822",Beach God,1,3,60,,1,"13868",false,2.3,,N.Callow,B.Cozamanis,1,1
VIC,Southside Pakenham Synthetic,4,2200,Synthetic,,2018-04-15,"5144089","5150567",Paying,BM 58,8,false,"1005478",East West,2,4,60,1.5,3,"13868",false,11,,C.Douglas,Rj.Coombes,3,3
VIC,Southside Pakenham Synthetic,4,2200,Synthetic,,2018-04-15,"5144089","5150567",Paying,BM 58,8,false,"5025836",Numerate,3,8,59,7.7,7,"13868",false,9.5,,D.W.Stackhouse,E.V.Musgrove,2,2
VIC,Southside Pakenham Synthetic,4,2200,Synthetic,,2018-04-15,"5144089","5150567",Paying,BM 58,8,false,"996662",Jamieson,4,7,58.5,4.75,4,"13868",false,10,,H.Grace,R.E.Laing,5,4
VIC,Southside Pakenham Synthetic,4,2200,Synthetic,,2018-04-15,"5144089","5150567",Paying,BM 58,8,false,"948667",Corruption,5,6,58,9.95,8,"13868",false,21,,J.Mcneil,M.Cid,7,7
VIC,Southside Pakenham Synthetic,4,2200,Synthetic,,2018-04-15,"5144089","5150567",Paying,BM 58,8,false,"980501",Cherub,6,1,56.5,4.95,5,"13868",false,10,,J.Noonan,H.Conners,6,5
VIC,Southside Pakenham Synthetic,4,2200,Synthetic,,2018-04-15,"5144089","5150567",Paying,BM 58,8,false,"5012804",Basanite,7,2,56,0.75,2,"13868",false,5,,L.Grace,R.E.Laing,4,6
VIC,Southside Pakenham Synthetic,4,2200,Synthetic,,2018-04-15,"5144089","5150567",Paying,BM 58,8,false,"996245",Marilisa,8,5,54,6.7,6,"13868",false,10,,J.A.Payne,E.V.Musgrove,8,8
SA,Morphettville,1,3100,Soft,"7",2018-08-18,"5153883","5168973",Paying,Hurdle,3,false,"976605",Sir Lopez,3,3,66,,1,"22278",false,3.7,,R.Cully,P.Payne,3,3
SA,Morphettville,1,3100,Soft,"7",2018-08-18,"5153883","5168973",Paying,Hurdle,3,false,"964636",Searaven,5,1,64.5,9.1,3,"22278",false,12,,B.Small,B.D.Brook,2,1
SA,Morphettville,1,3100,Soft,"7",2018-08-18,"5153883","5168973",Paying,Hurdle,3,false,"974058",Killarney Kid,7,2,64,0.9,2,"22278",false,1.35,,S.Jackson,D.K.Weir,1,2
VIC,Burrumbeet,2,1350,Good,"3",2018-01-01,"5143933","5141032",Paying,Maiden,8,false,"1002601",Hopsing,2,5,58.5,5.25,4,"8048",false,8,,H.T.Coffey,A.R.Coffey,,
VIC,Burrumbeet,2,1350,Good,"3",2018-01-01,"5143933","5141032",Paying,Maiden,8,false,"992916",Johnson Be Good,3,4,58.5,13.7,7,"8048",false,21,,S.Payne,Dcq.Quick,,
VIC,Burrumbeet,2,1350,Good,"3",2018-01-01,"5143933","5141032",Paying,Maiden,8,false,"5010633",Yankee Toff,5,7,57,,1,"8048",false,2.4,,M.Poy,J.W.Bridgman,,
VIC,Burrumbeet,2,1350,Good,"3",2018-01-01,"5143933","5141032",Paying,Maiden,8,false,"1011117",Detroit Rocks,6,6,56.5,1.5,2,"8048",false,6,,L.Doodt,J.A.Scott,,
VIC,Burrumbeet,2,1350,Good,"3",2018-01-01,"5143933","5141032",Paying,Maiden,8,false,"5016820",Australind,7,8,55,5.45,5,"8048",false,18,,L.Smith,S.Bottomley,,
VIC,Burrumbeet,2,1350,Good,"3",2018-01-01,"5143933","5141032",Paying,Maiden,8,false,"5014777",Taimana Princess,8,3,55,3.75,3,"8048",false,3.2,,S.Karlsson,H.Dwyer,,
VIC,Burrumbeet,2,1350,Good,"3",2018-01-01,"5143933","5141032",Paying,Maiden,8,false,"997237",Trades Mans Way,9,1,58.5,14.2,8,"8048",false,12,,J.Benbow,K.Harris,,
VIC,Burrumbeet,2,1350,Good,"3",2018-01-01,"5143933","5141032",Paying,Maiden,8,false,"987773",Rets,11,2,56.5,5.95,6,"8048",false,26,,K.Furness,A.J.Dudley,,
VIC,Southside Pakenham Synthetic,5,3200,Soft,"6",2018-04-15,"5144089","5151227",Paying,Steeple,9,false,"5042278",Dormello Mo,1,3,70,0.8,3,"23259",false,4.4,,B.Small,S.Ryan,3,3
VIC,Southside Pakenham Synthetic,5,3200,Soft,"6",2018-04-15,"5144089","5151227",Paying,Steeple,9,false,"979642",Valediction,2,1,69,8.9,5,"23259",false,19,,S.Pateman,G. Waterhouse & A. Bott,1,1
VIC,Southside Pakenham Synthetic,5,3200,Soft,"6",2018-04-15,"5144089","5151227",Paying,Steeple,9,false,"912734",Now And Zen,3,6,68,0.3,2,"23259",false,8.5,,B.Mclean,D.K.Weir,5,7
VIC,Southside Pakenham Synthetic,5,3200,Soft,"6",2018-04-15,"5144089","5151227",Paying,Steeple,9,false,"987962",Zataglio,4,4,68,13.3,9,"23259",false,15,,M.Kelly,E.V.Musgrove,2,2
VIC,Southside Pakenham Synthetic,5,3200,Soft,"6",2018-04-15,"5144089","5151227",Paying,Steeple,9,false,"5240326",Monarch Chimes,5,2,66,,1,"23259",false,2.45,,R.Cully,Emma-Lee & David Browne,4,5
VIC,Southside Pakenham Synthetic,5,3200,Soft,"6",2018-04-15,"5144089","5151227",Paying,Steeple,9,false,"5002524",King Triton,6,8,65.5,9.65,6,"23259",false,21,,T.Ryan,Pat & Chris Hyland,7,4
VIC,Southside Pakenham Synthetic,5,3200,Soft,"6",2018-04-15,"5144089","5151227",Paying,Steeple,9,false,"946495",Undergroundfighter,7,5,64,11.9,7,"23259",false,31,,L.P.Horner,A.Rosolini,8,9
VIC,Southside Pakenham Synthetic,5,3200,Soft,"6",2018-04-15,"5144089","5151227",Paying,Steeple,9,false,"910239",King Of The Forest,9,7,64,12.3,8,"23259",false,41,,J.Lynch,Dj.Londregan,9,8
VIC,Southside Pakenham Synthetic,5,3200,Soft,"6",2018-04-15,"5144089","5151227",Paying,Steeple,9,false,"989223",Trouble Bound,10,9,64,0.9,4,"23259",false,4.4,,C.Douglas,J.R.Mcardle,6,6
VIC,Southside Pakenham Synthetic,6,1600,Synthetic,,2018-04-15,"5144089","5150566",Paying,BM 58,10,false,"946093",Robbo The Bold,1,3,62.5,5.15,5,"9993",false,9,,H.Grace,K.L.Southey,10,9
VIC,Southside Pakenham Synthetic,6,1600,Synthetic,,2018-04-15,"5144089","5150566",Paying,BM 58,10,false,"998433",Solas,2,4,60,5.75,7,"9993",false,9,,D.W.Stackhouse,E.V.Musgrove,8,6
VIC,Southside Pakenham Synthetic,6,1600,Synthetic,,2018-04-15,"5144089","5150566",Paying,BM 58,10,false,"987225",Captain Smooth,4,5,58,,1,"9993",false,4.8,,R.Mcleod,J.J.Robinson,1,3
VIC,Southside Pakenham Synthetic,6,1600,Synthetic,,2018-04-15,"5144089","5150566",Paying,BM 58,10,false,"5022127",Wammo,5,8,58,4.75,4,"9993",false,151,,C.Douglas,L.Mcgill,5,2
VIC,Southside Pakenham Synthetic,6,1600,Synthetic,,2018-04-15,"5144089","5150566",Paying,BM 58,10,false,"5022873",Jocks,6,9,57.5,3.5,3,"9993",false,31,,J.Noonan,Nj.Roe,4,7
